name,longitude,latitude
Nam Poui,101.31519,18.62056
Phou Khao Khuay,103.01405,18.41653
Xe Pian,106.1327,14.47949
Phou Daen Din,102.365,21.98342
Phou Xang He,105.73686,16.86932
Dong Ampham,107.40704,14.94743
Xe Bang Nouan,105.93381,15.88134
Dong Hua Sao,106.09771,15.00189
Phou Xieng Thong,105.6341,15.57487
Nam Kading,104.2655,18.40821
Nam Xam,104.58525,20.13072
Phou Hin Poun,104.79854,17.78918
Nam Ha,101.28292,20.93266
Nam Kan,100.82246,20.54304
Xe Xap,107.01816,16.11529
Phou Pha Nang,102.33939,18.25048
Dong Phou Vieng,106.23648,16.40204
Nam Et-Phouloey,103.40472,20.38265
Hin Nam No,105.93056,17.41807
Hin Nam No,106.18871,17.2828
Nakai-Nam Teun,105.3302,17.91205
Phou Hi Phi,102.20626,20.75584
Phou Sabot Phoungchong,103.84083,19.82282
LavingLavern,106.3362,16.92993
LavingLavern,106.4893,16.95038
LavingLavern,106.48913,16.95028
LavingLavern,106.48899,16.95007
LavingLavern,106.48911,16.95017
LavingLavern,106.4889,16.94991
LavingLavern,106.48882,16.94989
LavingLavern,106.44606,16.92821
LavingLavern,106.37468,16.89165
Eld' Deer Sanctuary,105.72206,16.30756
Kounxe Nongma,106.26821,17.13571
Nam Poui,101.31519,18.62056
Phou Xieng Thong,105.6341,15.57487
Yodnammo-Phousamsoum,103.96932,19.14063
Nam Ha,101.28292,20.93266
